id_Siniestro; Importe pagado ;Estado;Fecha Siniestro;Mes;Año;Unidad de Negocio;Id_PAS;Localidad de Ocurrencia;CP;Provincia;Marca;Modelo;Versión;Año;Suma Asegurada
153;$ 185.000,00;CERRADO;2/7/2022;Julio;2022;Buenos Aires;126;GRAND BOURG;1615;Buenos Aires;GUERRERO;ENDURO;150 GXL TUNDRA;2017;$ 185.000,00
735;$ 215.000,00;CERRADO;23/9/2022;Septiembre;2022;Buenos Aires;438;VILLA MAIPU;1650;Buenos Aires;MOTOMEL;STREET;150 S2 BASE DISCO;2022;$ 215.000,00
576;$ 84.000,00;CERRADO;31/8/2022;Agosto;2022;USE;11;MORENO;1740;Buenos Aires;ZANELLA;CUB;ZB 110 G4 ARRANQUE ELECTRICO;2013;$ 84.000,00
1727;$ 344.500,00;CERRADO;13/1/2023;Enero;2023;Buenos Aires;45;C.A.B.A.;1000;C.A. de Buenos Aires;YAMAHA;STREET;125 YBR ED;2014;$ 344.500,00
1683;$ 248.000,00;CERRADO;8/1/2023;Enero;2023;USE;11;RAMOS MEJIA;1704;Buenos Aires;ZANELLA;CUB;ZB 110 Z1 BASE;2022;$ 248.000,00
598;$ 194.500,00;CERRADO;4/9/2022;Septiembre;2022;Buenos Aires;379;CASTELAR;1712;Buenos Aires;CORVEN;CUB;MIRAGE  110 RT;2019;$ 194.500,00
1627;$ 309.000,00;CERRADO;2/1/2023;Enero;2023;Buenos Aires;145;VIRREY DEL PINO;1763;Buenos Aires;SUZUKI;STREET;EN   125 2A;2013;$ 309.000,00
3296;$ 195.500,00;CERRADO;31/5/2023;Mayo;2023;Parana;651;SANTA FE;3000;Santa Fe;MOTOMEL;BUSINESS;110 BLITZ AUTOMATICA;2018;$ 195.500,00
3350;$ 1.274.000,00;CERRADO;5/6/2023;Junio;2023;Buenos Aires;1053;MORON 3301-5200;1407;C.A. de Buenos Aires;YAMAHA;ENDURO;250 XTZ;2012;$ 1.274.000,00
3834;$ 304.500,00;CERRADO;16/7/2023;Julio;2023;Buenos Aires;525;CAPITAL FEDERAL;1423;C.A. de Buenos Aires;CORVEN;STREET;ENERGY  125;2022;$ 304.500,00
3166;$ 687.500,00;CERRADO;18/5/2023;Mayo;2023;Buenos Aires;1188;CIUDADELA;1702;Buenos Aires;HONDA;ON OFF;XR  150 L;2017;$ 687.500,00
1058;$ 317.000,00;CERRADO;7/11/2022;Noviembre;2022;Buenos Aires;555;MORENO;1740;Buenos Aires;CORVEN;ENDURO;TRIAX   150 R3;2019;$ 317.000,00
21;$ 74.000,00;CERRADO;5/6/2022;Junio;2022;La Plata;21;LA PLATA ESTAFETA No.1;1900;Buenos Aires;ZANELLA;CUB;ZB 110 D RAYOS;2017;$ 74.000,00
3497;$ 705.000,00;CERRADO;18/6/2023;Junio;2023;Buenos Aires;1255;C.A.B.A.;1000;C.A. de Buenos Aires;BAJAJ;STREET;ROUSER  160 NS;2021;$ 705.000,00
212;$ 138.000,00;CERRADO;12/7/2022;Julio;2022;Agencia Virtual;70;NEUQUEN;8300;Neuquen;ZANELLA;CUB;ZB 110 RT NEW;2019;$ 138.000,00
654;$ 218.500,00;CERRADO;13/9/2022;Septiembre;2022;USE;11;PORTELA 1-1900;1406;C.A. de Buenos Aires;MOTOMEL;BUSINESS;110 BLITZ AUTOMATICA;2021;$ 218.500,00
521;$ 357.194,00;CERRADO;24/8/2022;Agosto;2022;Buenos Aires;340;MIRANDA 5801-6200;1406;C.A. de Buenos Aires;KYMCO;SCOOTER;AGILITY 125;2022;$ 357.194,00
366;$ 136.000,00;CERRADO;4/8/2022;Agosto;2022;USE;11;SAN FERNANDO;1646;Buenos Aires;MONDIAL;CUB;110 LD H C/D MAX;2020;$ 136.000,00
1233;$ 1.160.000,00;CERRADO;26/11/2022;Noviembre;2022;USE;11;EL PALOMAR;1684;Buenos Aires;YAMAHA;STREET;250 FZ 25;2018;$ 1.160.000,00
736;$ 297.500,00;CERRADO;23/9/2022;Septiembre;2022;La Plata;439;GERLI (PDO. LANUS);1824;Buenos Aires;HONDA;BUSINESS;C BIZ 125 KS;2015;$ 297.500,00
196;$ 121.371,00;CERRADO;8/7/2022;Julio;2022;Rosario;157;ROSARIO;2000;Santa Fe;MOTOMEL;BUSINESS;110 BLITZ BASE V8;2021;$ 121.371,00
206;$ 211.000,00;CERRADO;11/7/2022;Julio;2022;Parana;165;SANTA FE;3000;Santa Fe;HONDA;BUSINESS;WAVE  110S NEW BASE;2019;$ 211.000,00
522;$ 210.500,00;CERRADO;24/8/2022;Agosto;2022;Cordoba;341;CORDOBA;5000;Cordoba;CORVEN;ENDURO;TRIAX   150 R3;2015;$ 210.500,00
27;$ 365.000,00;CERRADO;6/6/2022;Junio;2022;Buenos Aires;27;MARCOS PAZ;1727;Buenos Aires;HONDA;BUSINESS;CG    150 NEW;2017;$ 365.000,00
1079;$ 396.000,00;CERRADO;9/11/2022;Noviembre;2022;Buenos Aires;580;QUILMES;1878;Buenos Aires;HONDA;ON OFF;XR  125 L;2013;$ 396.000,00
86;$ 82.000,00;CERRADO;17/6/2022;Junio;2022;Mar del Plata;73;MAR DEL PLATA ESTAFETA No.15;7600;Buenos Aires;GILERA;CUB;110 SMASH VS;2017;$ 82.000,00
3637;$ 1.521.500,00;CERRADO;30/6/2023;Junio;2023;La Plata;1284;LA PLATA;1900;Buenos Aires;BAJAJ;STREET;DOMINAR 400 NEW 2019;2020;$ 1.521.500,00
425;$ 126.910,00;CERRADO;12/8/2022;Agosto;2022;La Plata;82;LA PLATA;1900;Buenos Aires;MONDIAL;CUB;110 LD S;2018;$ 126.910,00
1009;$ 95.000,00;CERRADO;30/10/2022;Octubre;2022;Buenos Aires;105;MONTE CHINGOLO;1825;Buenos Aires;MAVERICK;BUSINESS;110 FOX;2012;$ 95.000,00
419;$ 242.500,00;CERRADO;11/8/2022;Agosto;2022;La Plata;291;LA PLATA;1900;Buenos Aires;HONDA;BUSINESS;WAVE  110S NEW BASE;2018;$ 242.500,00
2810;$ 1.177.000,00;CERRADO;17/4/2023;Abril;2023;Buenos Aires;1072;C.A.B.A.;1000;C.A. de Buenos Aires;HONDA;ON OFF;XR  250  TORNADO;2015;$ 1.177.000,00
4029;$ 1.198.500,00;CERRADO;29/7/2023;Julio;2023;Buenos Aires;105;C.A.B.A.;1000;C.A. de Buenos Aires;HONDA;ON OFF;XR  250  TORNADO;2014;$ 1.198.500,00
3879;$ 1.047.000,00;CERRADO;19/7/2023;Julio;2023;Mendoza;981;RIOBAMBA 1-800;1025;C.A. de Buenos Aires;BAJAJ;STREET;ROUSER  200 NS;2017;$ 1.047.000,00
4114;$ 648.000,00;CERRADO;4/8/2023;Agosto;2023;USE;11;AMBATO 4001-4100;1228;C.A. de Buenos Aires;HONDA;BUSINESS;CB    125 TWISTER;2022;$ 648.000,00
1503;$ 1.099.000,00;CERRADO;22/12/2022;Diciembre;2022;Buenos Aires;26;ALVAREZ JONTE AVDA. 3301-5800;1407;C.A. de Buenos Aires;KTM;TOURING;DUKE 200 NAKED;2021;$ 1.099.000,00
3753;$ 795.000,00;CERRADO;10/7/2023;Julio;2023;Buenos Aires;520;ACASSUSO 5101-7300;1408;C.A. de Buenos Aires;HONDA;SPORT;CB  190R;2017;$ 795.000,00
4270;$ 3.239.000,00;CERRADO;15/8/2023;Agosto;2023;Buenos Aires;1422;BAHIA BLANCA 2101-3400;1417;C.A. de Buenos Aires;BAJAJ;STREET;DOMINAR 400 TOURER;2023;$ 3.239.000,00
2778;$ 663.500,00;CERRADO;14/4/2023;Abril;2023;USE;11;VILLA DEVOTO;1419;Buenos Aires;BAJAJ;STREET;ROUSER  200 NS;2016;$ 663.500,00
1434;$ 3.178.000,00;CERRADO;18/12/2022;Diciembre;2022;Buenos Aires;26;PACHECO 1801-3600;1431;C.A. de Buenos Aires;CF MOTO;TOURING;MT 650;2022;$ 3.178.000,00
2961;$ 651.500,00;CERRADO;29/4/2023;Abril;2023;USE;11;SANTANDER 4601-7000;1439;C.A. de Buenos Aires;YAMAHA;TURISMO;150 FZ FI S;2016;$ 651.500,00
1717;$ 3.351.000,00;CERRADO;12/1/2023;Enero;2023;Buenos Aires;26;OLIVOS;1636;Buenos Aires;KTM;TOURING;ADVENTURE 390;2022;$ 3.351.000,00
3351;$ 352.000,00;CERRADO;5/6/2023;Junio;2023;Buenos Aires;919;JOSE C. PAZ;1665;Buenos Aires;GILERA;TURISMO;150 VC;2020;$ 352.000,00
3819;$ 1.650.000,00;CERRADO;15/7/2023;Julio;2023;Buenos Aires;1332;SAENZ PEÑA;1674;Buenos Aires;BAJAJ;STREET;DOMINAR 250;2022;$ 1.650.000,00
1700;$ 401.000,00;CERRADO;11/1/2023;Enero;2023;Buenos Aires;130;MORENO;1740;Buenos Aires;YAMAHA;TURISMO;160 FZ 16;2013;$ 401.000,00
3878;$ 539.000,00;CERRADO;19/7/2023;Julio;2023;Buenos Aires;1232;VILLA INSUPERABLE;1752;Buenos Aires;GILERA;BUSINESS;125 SMASH X;2021;$ 539.000,00
4214;$ 152.000,00;CERRADO;11/8/2023;Agosto;2023;Buenos Aires;388;LOMAS DEL MIRADOR;1752;Buenos Aires;ZANELLA;STREET;HJ     125;2013;$ 152.000,00
2241;$ 300.000,00;CERRADO;28/2/2023;Febrero;2023;Buenos Aires;327;LAFERRERE;1757;Buenos Aires;MONDIAL;STREET;150 RD H RT;2020;$ 300.000,00
1345;$ 1.111.000,00;CERRADO;8/12/2022;Diciembre;2022;Buenos Aires;26;GONZALEZ CATAN;1759;Buenos Aires;BAJAJ;STREET;DOMINAR 250;2022;$ 1.111.000,00
4713;$ 2.758.000,00;CERRADO;14/9/2023;Septiembre;2023;Buenos Aires;1439;ISIDRO CASANOVA;1765;Buenos Aires;HONDA;ON OFF;NX  400 FALCON;2013;$ 2.758.000,00
2742;$ 575.000,00;CERRADO;11/4/2023;Abril;2023;Buenos Aires;845;INGENIERO BUDGE;1773;Buenos Aires;BAJAJ;STREET;V 15    150 VIKRANT;2021;$ 575.000,00
